id,skills
4402063991,kafka
4402063991,aws
4402063991,java
4402063991,kubernetes
4400250820,aws
4400250820,scala
4385160370,kafka
4385160370,ml
4385160370,scala
4385160370,aws
4385160370,kubernetes
4390686657,ml
4390686657,scala
4389407164,ml
4389407164,golang
4389407164,sql
4393988383,python
4393988383,ml
4393988383,sql
4393988383,scala
4383409639,ml
4393275688,ml
4393275688,scala
4389406209,python
4389406209,ml
4389406209,sql
4389406209,scala
4407540751,ml
4407540751,scala
4369993014,python
4369993014,ml
4369993014,scala
4369993014,pytorch
4369993014,tensorflow
4339803972,python
4339803972,ml
4339803972,sql
4339803972,scala
4393216986,python
4393216986,ml
4393216986,sql
4393216986,scala
4405808380,ml
4405808380,scala
4400574718,aws
4400574718,sql
4399413461,aws
4399413461,ml
4399413461,scala
4375402681,golang
4375402681,sql
4375402681,python
4375402681,kafka
4375402681,docker
4375402681,ml
4375402681,scala
4375402681,aws
4375402681,kubernetes
4364416535,aws
4364416535,ml
4375897763,python
4375897763,ml
4375897763,golang
4375897763,sql
4390361687,aws
4390361687,ml
4390361687,scala
4401793818,python
4401793818,ml
4401793818,sql
4401793818,scala
4403543880,ml
4403543880,scala
4380588279,ml
4389297464,scala
4384508688,ml
4384508688,scala
4364502224,python
4364502224,pandas
4364502224,ml
4364502224,pytorch
4364502224,tensorflow
4385155580,kafka
4385155580,ml
4385155580,scala
4385155580,aws
4385155580,kubernetes
4385166131,kafka
4385166131,ml
4385166131,scala
4385166131,aws
4385166131,kubernetes
4384509658,ml
4384509658,scala
4385162312,kafka
4385162312,ml
4385162312,scala
4385162312,aws
4385162312,kubernetes
4385154681,kafka
4385154681,ml
4385154681,scala
4385154681,aws
4385154681,kubernetes
4393977794,ml
4393977794,scala
4335151263,ml
4335151263,scala
4408207946,ml
4408207946,scala
4335111772,golang
4335111772,kafka
4335111772,scala
4335111772,aws
4335111772,kubernetes
4400648492,scala
4400654311,ml
4400654311,scala
4375413293,ml
4375413293,scala
4391784009,scala
4389291615,scala
4385157529,kafka
4385157529,ml
4385157529,scala
4385157529,aws
4385157529,kubernetes
4384504708,ml
4384504708,scala
4385154679,kafka
4385154679,ml
4385154679,scala
4385154679,aws
4385154679,kubernetes
4398483604,golang
4398483604,sql
4398483604,kafka
4398483604,java
4398483604,kotlin
4398483604,aws
4398483604,kubernetes
4393978764,ml
4393978764,scala
4402068864,golang
4402068864,java
4402068864,docker
4402068864,ml
4402068864,aws
4390635659,python
4390635659,aws
4390635659,golang
4390635659,java
4403774407,aws
4403774407,golang
4403774407,java
4403774407,sql
4399848499,aws
4399848499,scala
4401774602,golang
4401774602,python
4401774602,java
4401774602,kotlin
4401774602,scala
4401774602,aws
4400273059,python
4400273059,java
4400273059,kotlin
4400273059,scala
4400273059,aws
4386954912,golang
4386954912,sql
4386954912,python
4386954912,java
4386954912,aws
4405295565,golang
4405295565,sql
4405295565,python
4405295565,spark
4405295565,scala
4405295565,aws
4402653783,golang
4402653783,sql
4402653783,python
4402653783,kafka
4402653783,scala
4402653783,aws
4405400517,python
4405400517,aws
4405400517,java
4405400517,scala
4402653756,golang
4402653756,sql
4402653756,kafka
4402653756,java
4402653756,scala
4402653756,aws
4402653756,kubernetes
4402083273,aws
4402083273,golang
4402083273,java
4402083273,ml
4406100706,sql
4406100706,python
4406100706,spark
4406100706,pandas
4406100706,aws
4405821569,aws
4405821569,kotlin
4405821569,java
4405821569,scala
4399047911,aws
4399047911,scala
4399047911,ml
4399047911,pytorch
4398358366,aws
4402481483,python
4402481483,kafka
4402481483,aws
4402481483,java
4383318689,aws
4383318689,ml
4383318689,scala
4398402472,aws
4403589024,golang
4403589024,python
4403589024,docker
4403589024,ml
4403589024,aws
4197742008,python
4197742008,kafka
4197742008,java
4197742008,spark
4197742008,kotlin
4197742008,aws
4405807921,aws
4405807921,kotlin
4405807921,java
4405807921,scala
4335200952,golang
4335200952,kafka
4335200952,scala
4335200952,aws
4335200952,kubernetes
4387890473,ml
4399404733,aws
4399404733,ml
4399404733,scala
4408224006,ml
4408224006,scala
4374502926,python
4374502926,java
4374502926,golang
4374502926,scala
4386580527,sql
4386580527,kafka
4386580527,java
4386580527,kotlin
4386580527,aws
4398923046,golang
4398923046,sql
4398923046,python
4398923046,spark
4398923046,aws
4403590083,java
4403590083,golang
4403590083,kotlin
4403590083,ml
4406132261,java
4406132261,golang
4406132261,ml
4406132261,scala
4398904768,golang
4398904768,sql
4398904768,python
4398904768,kafka
4398904768,spark
4398904768,ml
4398904768,scala
4398904768,tensorflow
4398904768,aws
4380129920,golang
4380129920,sql
4380129920,java
4380129920,spark
4380129920,aws
4406136157,java
4406136157,golang
4406136157,ml
4406136157,scala
4403590082,java
4403590082,kotlin
4403590082,ml
4403590082,scala
4403105879,python
4403105879,java
4403105879,golang
4403105879,ml
4386540181,golang
4386540181,docker
4386540181,kotlin
4386540181,scala
4386540181,java
4386540181,kubernetes
4395336848,golang
4395336848,docker
4395336848,kotlin
4395336848,scala
4395336848,java
4395336848,kubernetes
4379928425,golang
4379928425,sql
4379928425,docker
4379928425,scala
4379928425,aws
4379928425,kubernetes
4387349351,golang
4387349351,sql
4387349351,kafka
4387349351,docker
4387349351,scala
4387349351,aws
4387349351,kubernetes
4404441850,kotlin
4404441850,scala
4399461763,golang
4399461763,sql
4399461763,python
4399461763,kafka
4399461763,spark
4399461763,aws
4405997075,golang
4405997075,sql
4405997075,python
4405997075,spark
4405997075,scala
4405997075,aws
4407874533,aws
4407874533,golang
4407874533,kotlin
4404782872,docker
4404782872,java
4404782872,golang
4404782872,kotlin
4398093241,golang
4398093241,sql
4398093241,kafka
4398093241,java
4398093241,docker
4398093241,kotlin
4398093241,scala
4398093241,aws
4398093241,kubernetes
4379099609,sql
4379099609,kafka
4379099609,docker
4379099609,kotlin
4379099609,scala
4379099609,golang
4379099609,kubernetes
4391759037,golang
4391759037,sql
4391759037,kafka
4391759037,java
4391759037,docker
4391759037,kotlin
4391759037,scala
4391759037,aws
4391759037,kubernetes
4398083617,golang
4398083617,kotlin
4398083617,ml
4398083617,scala
4392932466,golang
4392932466,docker
4392932466,kotlin
4392932466,scala
4392932466,java
4392932466,kubernetes
4394959956,golang
4394959956,sql
4394959956,kafka
4394959956,java
4394959956,docker
4394959956,kotlin
4394959956,scala
4394959956,aws
4394959956,kubernetes
4335099841,ml
4335099841,scala
4335141401,golang
4335141401,kafka
4335141401,scala
4335141401,aws
4335141401,kubernetes
4335190994,ml
4335190994,scala
4400652371,scala
4403537647,aws
4403537647,golang
4403537647,scala
4403537647,kubernetes
4400647651,scala
4400652372,ml
4400652372,scala
4389406213,scala
4385168102,kafka
4385168102,ml
4385168102,scala
4385168102,aws
4385168102,kubernetes
4408224007,ml
4408224007,scala
4400639956,ml
4400639956,scala
4364186972,python
4364186972,pandas
4364186972,ml
4364186972,pytorch
4364186972,tensorflow
4364197061,python
4364197061,pandas
4364197061,ml
4364197061,pytorch
4364197061,tensorflow
4408098992,ml
4408098992,scala
4384515322,ml
4384515322,scala
4400654309,scala
4407898309,golang
4407898309,kafka
4407898309,scala
4407898309,aws
4407898309,kubernetes
4335220867,golang
4335220867,kafka
4335220867,scala
4335220867,aws
4335220867,kubernetes
4383316725,ml
4383316725,scala
4388209443,python
4364445378,python
4364445378,pandas
4364445378,ml
4364445378,pytorch
4364445378,tensorflow
4405802930,ml
4383317721,aws
4383317721,ml
4383317721,scala
4365147831,python
4365147831,ml
4365147831,sql
4365147831,scala
4389403252,scala
4378383603,python
4378383603,ml
4378383603,sql
4378383603,scala
4387639800,sql
4387639800,kafka
4387639800,java
4387639800,kotlin
4387639800,scala
4387639800,aws
4400654310,ml
4400654310,scala
4406084243,aws
4406084243,golang
4406084243,ml
4406084243,scala
4391518409,ml
4391518409,golang
4391518409,sql
4335111771,ml
4335111771,scala
4396136841,java
4396136841,golang
4396136841,scala
4395879537,java
4395879537,golang
4395879537,scala
4396493706,python
4396493706,golang
4396493706,scala
4402466883,golang
4402466883,python
4402466883,kafka
4402466883,ml
4402466883,scala
4402466883,java
4403748045,java
4403748045,golang
4403748045,scala
4398287656,java
4398287656,golang
4398287656,scala
4396144928,golang
4396144928,sql
4396144928,kotlin
4396144928,scala
4396144928,java
4400463327,java
4400463327,scala
4402892613,golang
4402892613,sql
4402892613,scala
4403226072,golang
4403226072,sql
4403226072,kafka
4403226072,java
4403226072,scala
4403226072,aws
4399075064,python
4399075064,java
4399075064,golang
4399075064,scala
4403748149,java
4403748149,golang
4403748149,scala
4405128459,java
4405128459,golang
4405128459,kotlin
4405128459,scala
4400438321,java
4400438321,golang
4400438321,scala
4400443437,scala
4398843798,golang
4398843798,scala
4403764136,java
4403764136,golang
4403764136,sql
4403764136,scala
4403751013,golang
4403751013,scala
4405596237,golang
4405596237,python
4405596237,ml
4405596237,scala
4405596237,java
4402823049,java
4402823049,golang
4402823049,kotlin
4402823049,scala
4400467322,sql
4400467322,python
4400467322,scala
4400467322,ml
4400467322,pytorch
4400467322,tensorflow
4400467322,golang
4395173067,java
4395173067,golang
4395173067,scala
4374277569,golang
4374277569,kotlin
4374277569,scala
4400552114,docker
4400552114,aws
4400552114,scala
4399284213,java
4406612300,aws
4406612300,golang
4406612300,java
4406612300,scala
4404388045,python
4404388045,golang
4404388045,sql
4405660714,java
4405441326,sql
4405441326,kafka
4405441326,java
4405441326,aws
4405441326,kubernetes
4374279579,golang
4374279579,sql
4374279579,java
4374279579,scala
4374279579,aws
4374279579,kubernetes
4400611618,java
4374261839,docker
4374261839,aws
4374261839,java
4374261839,scala
4406616184,aws
4406616184,golang
4406616184,java
4406616184,scala
4382120574,python
4382120574,java
4382120574,golang
4382120574,scala
4374277566,sql
4374277566,kafka
4374277566,spark
4374277566,golang
4374277566,kubernetes
4374265698,sql
4374265698,kafka
4374265698,spark
4374265698,scala
4374265698,golang
4374265698,kubernetes
4374276622,sql
4374276622,kafka
4374276622,java
4374276622,aws
4374276622,kubernetes
4374269715,golang
4374269715,sql
4374269715,java
4374269715,scala
4374269715,aws
4374269715,kubernetes
4374282454,golang
4374282454,kafka
4374282454,java
4374282454,scala
4374282454,aws
4374282454,kubernetes
4374275644,golang
4374275644,sql
4374275644,java
4374275644,scala
4374275644,aws
4374275644,kubernetes
4374280538,golang
4374280538,sql
4374280538,java
4374280538,scala
4374280538,aws
4374280538,kubernetes
4405287571,sql
4405287571,spark
4405287571,java
4405287571,scala
4405287571,aws
4405287571,kubernetes
4402564011,kafka
4402564011,aws
4402564011,java
4402564011,spark
4374264756,python
4374264756,sql
4405412423,golang
4405412423,kotlin
4405412423,scala
4380933485,golang
4380933485,kotlin
4380933485,scala
4404352950,aws
4404352950,golang
4404352950,java
4404352950,scala
4385123489,spark
4385123489,kotlin
4393972942,python
4393972942,ml
4393972942,sql
4393972942,scala
4401342264,java
4401342264,golang
4401342264,kotlin
4405267956,sql
4405267956,spark
4405267956,java
4405267956,scala
4405267956,aws
4405267956,kubernetes
4393275691,ml
4393275691,scala
4390683660,ml
4390683660,scala
4393276557,ml
4393276557,scala
